customer_id,annual_income,credit_score,property_value
CUST00001,47688,653,323413
CUST00002,57678,748,478453
CUST00003,40506,732,461698
CUST00004,79749,661,497255
CUST00005,44205,663,330612
CUST00006,180334,840,823969
CUST00007,75346,739,461401
CUST00008,55293,734,294985
CUST00009,36766,499,211153
CUST00010,78725,664,294087
CUST00011,90328,654,313079
CUST00012,57200,712,261839
CUST00013,76358,703,401132
CUST00014,232277,845,918683
CUST00015,39887,595,141453
CUST00016,58300,727,386692
CUST00017,142037,821,1317676
CUST00018,230814,821,1005332
CUST00019,32670,622,145853
CUST00020,238767,767,927622
CUST00021,28562,534,153348
CUST00022,70029,732,344208
CUST00023,84761,674,486375
CUST00024,259807,840,810975
CUST00025,221088,823,533626
CUST00026,95696,688,286480
CUST00027,47008,716,478119
CUST00028,27338,493,135090
CUST00029,79441,714,435309
CUST00030,52310,718,211930
CUST00031,66808,683,458331
CUST00032,207473,807,727205
CUST00033,87851,652,486946
CUST00034,202461,787,678878
CUST00035,74850,666,424404
CUST00036,41156,709,285248
CUST00037,43952,548,224526
CUST00038,94201,727,482710
CUST00039,76246,661,304055
CUST00040,41549,711,250822
CUST00041,75155,734,307603
CUST00042,67983,708,415094
CUST00043,55296,698,274974
CUST00044,172845,771,754011
CUST00045,209880,755,1218136
CUST00046,25887,598,150864
CUST00047,63754,692,200492
CUST00048,82799,656,465725
CUST00049,55179,681,456033
CUST00050,78183,675,229053
CUST00051,87109,735,415881
CUST00052,194656,838,1325081
CUST00053,44883,501,233494
CUST00054,49046,660,375029
CUST00055,290863,762,613402
CUST00056,165290,788,643792
CUST00057,87019,652,389117
CUST00058,117871,791,1119659
CUST00059,214360,810,621227
CUST00060,45743,678,427600
CUST00061,60785,735,366275
CUST00062,82401,733,337756
CUST00063,60829,698,400396
CUST00064,66594,680,389760
CUST00065,61368,735,320079
CUST00066,73632,675,377022
CUST00067,44055,577,157706
CUST00068,78149,713,273769
CUST00069,46064,745,328526
CUST00070,72979,717,427821
CUST00071,91172,729,414948
CUST00072,133694,794,617546
CUST00073,158284,761,1112154
CUST00074,50627,699,306000
CUST00075,140694,776,1365546
CUST00076,83543,687,289802
CUST00077,32655,644,121241
CUST00078,177355,757,1454925
CUST00079,43739,656,235990
CUST00080,28608,610,156417
CUST00081,47366,745,468511
CUST00082,172537,778,1474558
CUST00083,60194,749,272666
CUST00084,77583,740,344698
CUST00085,67516,693,428496
CUST00086,83694,708,307744
CUST00087,109529,785,747504
CUST00088,65628,652,409067
CUST00089,122749,843,1124333
CUST00090,88604,717,297195
CUST00091,88603,699,445985
CUST00092,37202,617,230806
CUST00093,27318,586,181997
CUST00094,32943,515,132093
CUST00095,37115,472,182238
CUST00096,60355,748,452045
CUST00097,83017,697,268021
CUST00098,83614,715,486045
CUST00099,80037,705,312614
CUST00100,38597,564,222482
CUST00101,75321,749,483749
CUST00102,31692,528,155464
CUST00103,55002,710,466898
CUST00104,59791,679,450870
CUST00105,70604,713,233031
CUST00106,92911,702,234973
CUST00107,98789,724,354240
CUST00108,40942,689,312179
CUST00109,89942,686,376832
CUST00110,70077,745,463854
CUST00111,292463,821,1232918
CUST00112,35646,494,107423
CUST00113,93321,701,390362
CUST00114,57068,664,208813
CUST00115,65178,657,270335
CUST00116,286740,835,1108824
CUST00117,82079,735,307797
